Run,cell_line,num_mapped_reads
SRR8639150,EBC1_LUNG,379420
SRR8639204,CAKI1_KIDNEY,541050
SRR8639219,DMS53_LUNG,514931
SRR8652045,NCIH1694_LUNG,890301
SRR8652065,JHH7_LIVER,5340682
SRR8652083,NCIH226_LUNG,7846331
SRR8652085,NCIH2227_LUNG,974692
SRR8652096,KYSE450_OESOPHAGUS,460258
SRR8652116,HS746T_STOMACH,4319620
SRR8652134,MSTO211H_PLEURA,8669289
SRR8652137,NCIH1184_LUNG,2535351
SRR8652139,NCIH1651_LUNG,18461466
SRR8670689,NCIH510_LUNG,2192074
SRR8670707,SW480_LARGE_INTESTINE,806924
SRR8670711,SW1783_CENTRAL_NERVOUS_SYSTEM,7904855
SRR8670712,SW1990_PANCREAS,589442
SRR8670714,SNU449_LIVER,678487
SRR8670733,PANC1_PANCREAS,455660
SRR8670751,RVH421_SKIN,4725151
SRR8670759,RERFGC1B_STOMACH,494829
SRR8788981,DMS114_LUNG,1254714
SRR8788983,QGP1_PANCREAS,1173192
SRR8639131,A2058_SKIN,5341132
SRR8639135,A101D_SKIN,584474
SRR8639141,HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,10964865
SRR8639142,HEPG2_LIVER,7011403
SRR8639143,EOL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,6412308
SRR8639145,HCT116_LARGE_INTESTINE,2672723
SRR8639146,HCT15_LARGE_INTESTINE,8020519
SRR8639148,HCC95_LUNG,12285110
SRR8639152,DU145_PROSTATE,6882709
SRR8639158,HCC33_LUNG,549422
SRR8639164,HCC15_LUNG,1674317
SRR8639170,ACHN_KIDNEY,448268
SRR8639171,ABC1_LUNG,575364
SRR8639172,A704_KIDNEY,8765421
SRR8639173,A549_LUNG,669513
SRR8639177,GI1_CENTRAL_NERVOUS_SYSTEM,7622467
SRR8639179,H4_CENTRAL_NERVOUS_SYSTEM,7982370
SRR8639180,HARA_LUNG,11601206
SRR8639189,CAPAN1_PANCREAS,447218
SRR8639192,CAS1_CENTRAL_NERVOUS_SYSTEM,7037709
SRR8639193,CALU1_LUNG,535275
SRR8639198,CHAGOK1_LUNG,9536971
SRR8639202,CAL27_UPPER_AERODIGESTIVE_TRACT,563936
SRR8639203,C2BBE1_LARGE_INTESTINE,588016
SRR8639207,BFTC909_KIDNEY,513500
SRR8639210,CAL54_KIDNEY,478590
SRR8639211,DB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,9588806
SRR8639212,DAOY_CENTRAL_NERVOUS_SYSTEM,1265581
SRR8639216,DMS153_LUNG,531599
SRR8639220,DMS454_LUNG,1621252
SRR8639221,CORL88_LUNG,458839
SRR8639223,CORL23_LUNG,628942
SRR8639224,CORL24_LUNG,547923
SRR8639225,CORL279_LUNG,7291475
SRR8639226,CORL311_LUNG,636631
SRR8639227,COLO201_LARGE_INTESTINE,3514706
SRR8639230,COLO829_SKIN,645560
SRR8639232,GB1_CENTRAL_NERVOUS_SYSTEM,2933819
SRR8639233,FADU_UPPER_AERODIGESTIVE_TRACT,617605
SRR8639237,G401_SOFT_TISSUE,8291216
SRR8639238,G361_SKIN,554405
SRR8652039,NCIH1876_LUNG,7963282
SRR8652040,NCIH1869_LUNG,663297
SRR8652041,NCIH1836_LUNG,731414
SRR8652043,NCIH1792_LUNG,461144
SRR8652044,NCIH1703_LUNG,5672921
SRR8652047,NCIH1963_LUNG,4622240
SRR8652048,NCIH1930_LUNG,553108
SRR8652049,NCIH196_LUNG,7141752
SRR8652052,NCIH2030_LUNG,3358832
SRR8652053,NCIH2052_PLEURA,683701
SRR8652056,NCIH209_LUNG,6919442
SRR8652059,KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,6721486
SRR8652060,KATOIII_STOMACH,743268
SRR8652062,IM95_STOMACH,644763
SRR8652064,JHH1_LIVER,573301
SRR8652069,KNS81_CENTRAL_NERVOUS_SYSTEM,10714212
SRR8652070,KNS62_LUNG,617731
SRR8652072,KU1919_URINARY_TRACT,680395
SRR8652074,KE39_STOMACH,601312
SRR8652077,KYSE30_OESOPHAGUS,568518
SRR8652078,KYSE180_OESOPHAGUS,1374234
SRR8652079,NCIH358_LUNG,5044377
SRR8652081,NCIH23_LUNG,840190
SRR8652086,NCIH2196_LUNG,8374228
SRR8652087,NCIH2171_LUNG,7889382
SRR8652088,NCIH2170_LUNG,527709
SRR8652090,LN18_CENTRAL_NERVOUS_SYSTEM,6221387
SRR8652092,LC1F_LUNG,539945
SRR8652094,KYSE70_OESOPHAGUS,595731
SRR8652095,KYSE410_OESOPHAGUS,523404
SRR8652098,LOVO_LARGE_INTESTINE,7229432
SRR8652099,LS513_LARGE_INTESTINE,5896170
SRR8652100,LS411N_LARGE_INTESTINE,430838
SRR8652102,LOXIMVI_SKIN,660595
SRR8652106,LU99_LUNG,444423
SRR8652109,HUTU80_SMALL_INTESTINE,7087690
SRR8652110,IGR39_SKIN,9688510
SRR8652113,HT144_SKIN,2069262
SRR8652115,HS294T_SKIN,641752
SRR8652117,HS944T_SKIN,5346931
SRR8652118,HSC3_UPPER_AERODIGESTIVE_TRACT,8163540
SRR8652119,MKN74_STOMACH,625966
SRR8652120,MKN7_STOMACH,491160
SRR8652122,MIAPACA2_PANCREAS,531993
SRR8652123,MKN1_STOMACH,346081
SRR8652130,NCIH1299_LUNG,604440
SRR8652131,MONOMAC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,5418584
SRR8652133,MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,6308766
SRR8652135,NCIH1092_LUNG,5930035
SRR8652138,NCIH1105_LUNG,485312
SRR8652142,NCIH1436_LUNG,842127
SRR8652144,NCIH1355_LUNG,880233
SRR8652146,NCIH1650_LUNG,788633
SRR8652147,NCIH1437_LUNG,751350
SRR8652148,NCIH146_LUNG,408233
SRR8670669,SW900_LUNG,499280
SRR8670670,SW579_THYROID,737550
SRR8670671,TE1_OESOPHAGUS,651951
SRR8670673,T84_LARGE_INTESTINE,543276
SRR8670675,THP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,9992479
SRR8670678,SKMES1_LUNG,3912059
SRR8670680,SKMEL30_SKIN,7670964
SRR8670682,SKMEL24_SKIN,8245042
SRR8670683,SKHEP1_LIVER,618171
SRR8670685,SHP77_LUNG,1129348
SRR8670686,SKCO1_LARGE_INTESTINE,7263575
SRR8670687,NCIH460_LUNG,11139207
SRR8670688,NCIH446_LUNG,4513812
SRR8670690,NCIH508_LARGE_INTESTINE,917210
SRR8670691,NCIH522_LUNG,1957771
SRR8670692,NCIH520_LUNG,2334879
SRR8670693,NCIH526_LUNG,6814794
SRR8670694,NCIH524_LUNG,834720
SRR8670695,NCIH650_LUNG,526402
SRR8670696,NCIH596_LUNG,561779
SRR8670697,NUGC3_STOMACH,645687
SRR8670699,NCIH82_LUNG,624226
SRR8670700,NCIH747_LARGE_INTESTINE,6177876
SRR8670701,NCIH69_LUNG,8857499
SRR8670702,NCIH661_LUNG,10496746
SRR8670703,NCIN87_STOMACH,12072247
SRR8670705,NCIH841_LUNG,7697465
SRR8670706,NCIH838_LUNG,472602
SRR8670709,SUIT2_PANCREAS,4327662
SRR8670710,SW1271_LUNG,506122
SRR8670713,SNU423_LIVER,7985180
SRR8670715,SNU475_LIVER,5715041
SRR8670720,U251MG_CENTRAL_NERVOUS_SYSTEM,5035273
SRR8670722,VMCUB1_URINARY_TRACT,641276
SRR8670730,PANC1005_PANCREAS,456403
SRR8670734,PC3_PROSTATE,660810
SRR8670737,OE19_OESOPHAGUS,543576
SRR8670740,OSRC2_KIDNEY,11005908
SRR8670746,SCLC21H_LUNG,6422275
SRR8670747,SCC4_UPPER_AERODIGESTIVE_TRACT,3235707
SRR8670748,SCC25_UPPER_AERODIGESTIVE_TRACT,764444
SRR8670749,SCABER_URINARY_TRACT,5795120
SRR8670753,RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,4879073
SRR8670756,PLCPRF5_LIVER,626232
SRR8670758,REC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,7902537
SRR8670766,SNU407_LARGE_INTESTINE,8040195
SRR8670770,SNU1_STOMACH,9627339
SRR8670771,SNU182_LIVER,10979335